sheet_number,sheet_name,discipline,page_number,scope_package,bid_item,subheading,n_regions,verdict,reason,extracted_text_sample,json_text_sample,quad_px_boxes
A-101CD,Level 01 Floor Plan Blocks C & D,Architectural,5,Drywall,Furnish & Install Wall Framing Continuous To Deck And As Per General Notes,Metal Framing,1,RIGHT,"Referenced text (""A. ALL NEW WALL ASSEMBLIES ARE CONTINUOUS TO BOTTOM OF DECK UNLESS NOTED OTHERWISE."") supports the item; matched terms: continuou, continuous, deck, wall.",A. ALL NEW WALL ASSEMBLIES ARE CONTINUOUS TO BOTTOM OF DECK UNLESS NOTED OTHERWISE.,A. ALL NEW WALL ASSEMBLIES ARE CONTINUOUS TO BOTTOM OF DECK UNLESS NOTED OTHERWISE.,
A-101CD,Level 01 Floor Plan Blocks C & D,Architectural,5,Drywall,Furnish & Install Tile Backer Board And Moisture Resistant Gypsum Board In Wet Areas,Gypsum Board,1,RIGHT,"Referenced text (""C. WHERE THE FINISH SCHEDULE OR INTERIOR ELEVATIONS CALL FOR TILE, REPLACE GYPSUM BOARD SHOWN IN THE WALL'S ASSEMBLY WITH TILE BACKER BOARD WHERE TILE"") supports the item; matched terms: backer, board, gypsum, moisture, resistant, tile.","C. WHERE THE FINISH SCHEDULE OR INTERIOR ELEVATIONS CALL FOR TILE, REPLACE GYPSUM BOARD SHOWN IN THE WALL'S ASSEMBLY WITH TILE BACKER BOARD WHERE TILE OCCURS. REPLACE OTHER GYPSUM BOARD SHOWN IN THAT WALL'S ASSEMBLY WITH MOISTURE RESISTANT GYPSUM BOARD WHERE NO TILE OCCURS.","C. WHERE THE FINISH SCHEDULE OR INTERIOR ELEVATIONS CALL FOR TILE, REPLACE GYPSUM BOARD SHOWN IN THE WALL'S ASSEMBLY WITH TILE BACKER BOARD WHERE TILE OCCURS. REPLACE OTHER GYPSUM BOARD SHOWN IN THAT WALL'S ASSEMBLY WITH MOISTURE RESISTANT GYPSUM BOARD WHERE NO TILE OCCURS.",
A-101CD,Level 01 Floor Plan Blocks C & D,Architectural,5,Drywall,Furnish & Install Wall Framing Layout And Coordination,Metal Framing,20,WRONG,"[Manual review] Referenced text is only the abbreviation ""F.O.S."" (Face Of Stud) repeated - a dimension-reference annotation used throughout the floor plan, not evidence of a distinct 'layout and coordination' scope item.",F.O.S. | F.O.S. | F.O.S. | F.O.S. | F.O.S. | F.O.S. | F.O.S. | F.O.S. | F.O.S. | F.O.S. | F.O.S. | F.O.S. | F.O.S. | F.O.S. | F.O.S. | F.O.S. | F.O.S. | F.O.S. | F.O.S. | F.O.S.,F.O.S. | F.O.S. | F.O.S. | F.O.S. | F.O.S. | F.O.S. | F.O.S. | F.O.S. | F.O.S. | F.O.S. | F.O.S. | F.O.S. | F.O.S. | F.O.S. | F.O.S. | F.O.S. | F.O.S. | F.O.S. | F.O.S. | F.O.S.,"1197,1860,1203,1860,1203,1879,1197,1879; 1236,1855,1242,1855,1242,1874,1236,1874; 1461,1861,1468,1861,1468,1880,1461,1880; 1422,1853,1429,1853,1429,1872,1422,1872; 1198,270,1205,270,1205,289,1198,289; 1460,271,1467,271,1467,290,1460,290; 1422,277,1429,277,1429,296,1422,296; 1235,278,1242,278,1242,297,1235,297; 2075,365,2081,365,2081,384,2075,384; 1678,364,1684,364,1684,383,1678,383; 2442,575,2461,575,2461,582,2442,582; 2423,776,2442,776,2442,782,2423,782; 2399,1378,2418,1378,2418,1384,2399,1384; 2282,1804,2288,1804,2288,1823,2282,1823; 2062,1742,2069,1742,2069,1760,2062,1760; 2084,1767,2090,1767,2090,1786,2084,1786; 1669,1767,1675,1767,1675,1786,1669,1786; 2424,1580,2443,1580,2443,1586,2424,1586; 2280,329,2286,329,2286,348,2280,348; 2261,346,2267,346,2267,365,2261,365"
A-101CD,Level 01 Floor Plan Blocks C & D,Architectural,5,Rough Carpentry,Furnish & Install Wood Blocking and Backing,Blocking and Backing,1,RIGHT,"Referenced text (""D. PROVIDE BACKING / SUPPORT FOR ALL MOUNTED FIXTURES, EQUIPMENT, CASEWORK, AND/OR SYSTEMS FURNITURE. COORDINATE WITH FLOOR PLANS, AND INTERIOR ELEVAT"") supports the item; matched terms: back, backing.","D. PROVIDE BACKING / SUPPORT FOR ALL MOUNTED FIXTURES, EQUIPMENT, CASEWORK, AND/OR SYSTEMS FURNITURE. COORDINATE WITH FLOOR PLANS, AND INTERIOR ELEVATIONS PRIOR TO THE COVERING OF STUD FRAMING. REFER TO MANUFACTURER'S RECOMMENDATIONS WHERE APPLICABLE, OTHERWISE REFER TO DETAILS ON A700s SHEET SERIES.","D. PROVIDE BACKING / SUPPORT FOR ALL MOUNTED FIXTURES, EQUIPMENT, CASEWORK, AND/OR SYSTEMS FURNITURE. COORDINATE WITH FLOOR PLANS, AND INTERIOR ELEVATIONS PRIOR TO THE COVERING OF STUD FRAMING. REFER TO MANUFACTURER'S RECOMMENDATIONS WHERE APPLICABLE, OTHERWISE REFER TO DETAILS ON A700s SHEET SERIES.",
A-101CD,Level 01 Floor Plan Blocks C & D,Architectural,5,"Doors, Frames & Hardware",Furnish & Install Coordination Of Rough Opening Dimensions With Actual Frame Sizes,Installation and Adjustments,1,RIGHT,"Referenced text (""H. WHERE PROVIDED, DOOR AND WINDOW DIMENSIONS ARE TO EDGE OF OPENING. OPENING DIMENSIONS ARE NOMINAL. CONTRACTOR SHALL COORDINATE DIMENSIONS OF ALL RO"") supports the item; matched terms: actual, dimension, dimensions, frame, open, opening, rough, size, sizes.","H. WHERE PROVIDED, DOOR AND WINDOW DIMENSIONS ARE TO EDGE OF OPENING. OPENING DIMENSIONS ARE NOMINAL. CONTRACTOR SHALL COORDINATE DIMENSIONS OF ALL ROUGH OPENINGS AND ACTUAL FRAME SIZES.","H. WHERE PROVIDED, DOOR AND WINDOW DIMENSIONS ARE TO EDGE OF OPENING. OPENING DIMENSIONS ARE NOMINAL. CONTRACTOR SHALL COORDINATE DIMENSIONS OF ALL ROUGH OPENINGS AND ACTUAL FRAME SIZES.",
A-101CD,Level 01 Floor Plan Blocks C & D,Architectural,5,"Doors, Frames & Hardware",Furnish & Install Layout For Undimensioned Door Rough Openings,Installation and Adjustments,1,RIGHT,"Referenced text (""I. WHERE DOOR LOCATIONS ARE NOT DIMENSIONED, SEE DETAILS REFERENCED IN DOOR SCHEDULE BY SPECIFIC CONDITION. OTHERWISE, THE HINGE SIDE OF DOOR ROUGH OP"") supports the item; matched terms: door, opening, openings, rough.","I. WHERE DOOR LOCATIONS ARE NOT DIMENSIONED, SEE DETAILS REFERENCED IN DOOR SCHEDULE BY SPECIFIC CONDITION. OTHERWISE, THE HINGE SIDE OF DOOR ROUGH OPENINGS SHALL BE LOCATED 4"" FROM THE ADJACENT PERPENDICULAR WALL, SUBJECT TO MAINTENANCE OF REQUIRED ADA CLEARANCES REFERENCED IN THE G700s SHEET SERIES.","I. WHERE DOOR LOCATIONS ARE NOT DIMENSIONED, SEE DETAILS REFERENCED IN DOOR SCHEDULE BY SPECIFIC CONDITION. OTHERWISE, THE HINGE SIDE OF DOOR ROUGH OPENINGS SHALL BE LOCATED 4"" FROM THE ADJACENT PERPENDICULAR WALL, SUBJECT TO MAINTENANCE OF REQUIRED ADA CLEARANCES REFERENCED IN THE G700s SHEET SERIES.",
A-101CD,Level 01 Floor Plan Blocks C & D,Architectural,5,"Doors, Frames & Hardware",Furnish & Install Wood Doors Per Schedule And Drawings,Wood Doors,3,WRONG,"The referenced text is the tag ""WD42A"", which the wall assembly-type legend on G-501/G-511 defines as 2 hr rated, UL V324, unit demising, double layer gyp - a wall assembly designation, not ""Furnish & Install Wood Doors Per Schedule And Drawings"". This looks like the abbreviation/tag was read as the wrong kind of callout.",WD42A | WD42A | WD42A,WD42A | WD42A | WD42A,"533,713,557,713,557,722,533,722; 612,1362,648,1362,648,1375,612,1375; 610,860,645,860,645,872,610,872"
A-101CD,Level 01 Floor Plan Blocks C & D,Architectural,5,Information Specialties,"Furnish & Install — Room, Area, and Unit Identification Signage",Interior Signage,41,RIGHT,"Referenced tag(s) ""W4, W6G"" appear on the G-501/G-511 assembly legend and are consistent with ""Furnish & Install — Room, Area, and Unit Identification Signage"".",LIVING A | KITCHEN B | MECH M | HALL H | CLOSET C | BATH D | LAUNDRY E | PRIMARY BEDROOM F | BEDROOM G | LIVING A | KITCHEN B | MECH M | HALL H | CLOSET C | BATH D | LAUNDRY E | PRIMARY BEDROOM F | BEDROOM G | LIVING A | KITCHEN B | MECH M | HALL J | BATH D | LAUNDRY E | PRIMARY BEDROOM F | BEDROOM G | BEDROOM H | LIVING A | KITCHEN B | MECH M | HALL J | CLOSET C | BATH D W4 | LAUNDRY E W6G | PRIM,LIVING A | KITCHEN B | MECH M | HALL H | CLOSET C | BATH D | LAUNDRY E | PRIMARY BEDROOM F | BEDROOM G | LIVING A | KITCHEN B | MECH M | HALL H | CLOSET C | BATH D | LAUNDRY E | PRIMARY BEDROOM F | BEDROOM G | LIVING A | KITCHEN B | MECH M | HALL J | BATH D | LAUNDRY E | PRIMARY BEDROOM F | BEDROOM G | BEDROOM H | LIVING | KITCHEN | MECH | HALL | CLOSET | BATH | LAUNDRY | PRIMARY BEDROOM | BEDROOM,
A-101CD,Level 01 Floor Plan Blocks C & D,Architectural,5,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,Metal Framing,11,RIGHT,"Referenced tag(s) ""BR1, FB1, W4, W4G, W6, W60A, W6G, WD40A, WD42A, XW6, XW6.2, XW62"" appear on the G-501/G-511 assembly legend and are consistent with ""Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags"".","W60A | 6' - 4 3/4"" 4' - 5"" 4' - 9 1/4"" G1 F1 E1 D1 C1 - 0 3/4"" 4' - 2 1/4"" 2' - 9 1/2"" 5' - 4 3/4"" 1' - 3 3/4"" 11"" 2' - 4 1/2"" 4' - 0 1/2"" 4' - 8 1/4"" KITCHEN BATH D HALL H CLOSET C 2' - 6 1/2"" 2' - 2"" 10 1/2"" 1' - 5"" 6' - 4 3/4"" 4' - 5"" 4' - 9 1/4"" G1 F1 E1 D1 C1 11' - 0 3/4"" 4' - 2 1/4"" 2' - 9 1/2"" 5' - 4 3/4"" 1' - 3 3/4"" 11"" 2' - 4 1/2"" 4' - 0 1/2"" 4' - 8 1/4"" BEDROOM BEDROOM BATH D HALL H CLOS",W60A | W4 W4 W4 W4 W4 W4 W4 W6 W4 W4G W4G W4 W4 W4 W6 W4 W4 W4 W4 W4 W4 | W60A | W4 W6G W6G W6G W4 W4 W4 W6 W4 W4 W4 W4 W4 W4 W4 | W4 W6G W6G W6G W4 W6 W4 W4 W4 W4 W4G W4 W4 W4 W4 W4 W4 W4 W4 W4 | XW6.2 | XW6.2 | W4 W4 W6G WD42A W6G W4 W4 | FB1 XW6 XW6 BR1 BR1 BR1 BR1 XW6 BR1 | XW62 | XW6 FB1 XW6 XW6 BR1 BR1 XW6 BR1 BR1 XW6 FB1 XW6 XW6 BR1 BR1 XW6 BR1 BR1 XW6 XW6 XW6 XW6 FB1 WD40A,
A-101CD,Level 01 Floor Plan Blocks C & D,Architectural,5,Precast Concrete,Furnish & Install Precast Concrete Stair Treads,Stairs,1,WRONG,"All referenced regions are title-block/page furniture - e.g. the architect's own office address/phone (""T 801.924.5000"") - not a scope of work.",T 801.924.5000,T 801.924.5000,"2790,324,2880,324,2880,333,2790,333"
A-153E,Level 03 Rcp Block E,Architectural,6,Rough Carpentry,Furnish & Install Wood Blocking and Backing,Blocking and Backing,1,RIGHT,"Referenced text (""D. PROVIDE REQUIRED BLOCKING AND SUPPORT FOR CEILING FANS AND ALL OTHER CEILING MOUNTED FIXTURES."") supports the item; matched terms: block, blocking.",D. PROVIDE REQUIRED BLOCKING AND SUPPORT FOR CEILING FANS AND ALL OTHER CEILING MOUNTED FIXTURES.,D. PROVIDE REQUIRED BLOCKING AND SUPPORT FOR CEILING FANS AND ALL OTHER CEILING MOUNTED FIXTURES.,
A-153E,Level 03 Rcp Block E,Architectural,6,Joint Sealants,Review Expansion Joint Schedule on G Series Sheets,Others,1,RIGHT,"Referenced text (""H. SEE G SERIES SHEETS FOR EXPANSION JOINT SCHEDULE."") supports the item; matched terms: expansion, joint, schedule, serie, series, sheet, sheets.",H. SEE G SERIES SHEETS FOR EXPANSION JOINT SCHEDULE.,H. SEE G SERIES SHEETS FOR EXPANSION JOINT SCHEDULE.,
A-153E,Level 03 Rcp Block E,Architectural,6,Drywall,"Furnish & Install Drywall Trim, Corner Bead, And Escutcheons",Finishing,1,RIGHT,"Referenced text (""E. PROVIDE APPROPRIATE TRIM OR ESCUTCHEONS FOR ALL ITEMS PENETRATING CEILINGS FROM FINISH SPACE."") supports the item; matched terms: escutcheon, escutcheons, finish, trim.",E. PROVIDE APPROPRIATE TRIM OR ESCUTCHEONS FOR ALL ITEMS PENETRATING CEILINGS FROM FINISH SPACE.,E. PROVIDE APPROPRIATE TRIM OR ESCUTCHEONS FOR ALL ITEMS PENETRATING CEILINGS FROM FINISH SPACE.,
A-153E,Level 03 Rcp Block E,Architectural,6,Drywall,Furnish & Install Framing And Sealing For Ceiling Penetrations And Box Outs,Soffits and Bulkheads,1,RIGHT,"Referenced text (""F. LIGHT FIXTURES IN CEILINGS TO RECEIVE BATT INSULATION ON TOP SHALL HAVE A BOX OUT TO PROTECT THE INSULATION FROM THE HEAT OF THE LIGHT SOURCE."") supports the item; matched terms: box, ceiling.",F. LIGHT FIXTURES IN CEILINGS TO RECEIVE BATT INSULATION ON TOP SHALL HAVE A BOX OUT TO PROTECT THE INSULATION FROM THE HEAT OF THE LIGHT SOURCE.,F. LIGHT FIXTURES IN CEILINGS TO RECEIVE BATT INSULATION ON TOP SHALL HAVE A BOX OUT TO PROTECT THE INSULATION FROM THE HEAT OF THE LIGHT SOURCE.,
A-153E,Level 03 Rcp Block E,Architectural,6,Drywall,Furnish & Install Framing For Soffits,Soffits and Bulkheads,1,RIGHT,"Referenced text (""G. ALL SOFFIT DIMENSIONS ARE TO FACE OF FINISH MATERIAL."") supports the item; matched terms: soffit.",G. ALL SOFFIT DIMENSIONS ARE TO FACE OF FINISH MATERIAL.,G. ALL SOFFIT DIMENSIONS ARE TO FACE OF FINISH MATERIAL.,
A-153E,Level 03 Rcp Block E,Architectural,6,Drywall,Furnish & Install Seismic Bracing For Walls And Ceilings,Metal Framing,1,RIGHT,"Referenced text (""I. FOR TYPICAL CEILING AND SEISMIC BRACING DETAILS, REFER TO A700s SHEET SERIES."") supports the item; matched terms: brac, bracing, ceiling, seismic.","I. FOR TYPICAL CEILING AND SEISMIC BRACING DETAILS, REFER TO A700s SHEET SERIES.","I. FOR TYPICAL CEILING AND SEISMIC BRACING DETAILS, REFER TO A700s SHEET SERIES.",
A-153E,Level 03 Rcp Block E,Architectural,6,Miscellaneous Metals,Furnish & Install Corner Guards,Corner & Wall Guards,1,WRONG,"The referenced text is the tag ""CG1.14"", which the ceiling assembly-type legend on G-501/G-511 defines as 1/2 hr floor-ceiling, glass mat sheathing - a ceiling assembly designation, not ""Furnish & Install Corner Guards"". This looks like the abbreviation/tag was read as the wrong kind of callout.","CG1.14 7' - 11 3/8""","CG1.14 7' - 11 3/8""","1237,1121,1281,1121,1281,1143,1237,1143"
A-203,Building Elevations Breezeway,Architectural,7,Masonry,Furnish & Install Brick Veneer System,Brick Veneer,11,RIGHT,"Referenced text (""BLDG ELEVATION LEGEND | BR1 BRICK VENEER | BR1 | BR1 | BR1 | BR1 | BR1 | BR1 | BR1 | BR1 | BR1"") supports the item; matched terms: brick, veneer.",BLDG ELEVATION LEGEND | BR1 BRICK VENEER | BR1 | BR1 | BR1 | BR1 | BR1 | BR1 | BR1 | BR1 | BR1,BLDG ELEVATION LEGEND | BR1 BRICK VENEER | BR1 | BR1 | BR1 | BR1 | BR1 | BR1 | BR1 | BR1 | BR1,
A-203,Building Elevations Breezeway,Architectural,7,Flashing and Sheet Metal,"Furnish & Install Gutters, Downspouts, and Associated Accessories",Gutters & Downspouts,1,RIGHT,"Referenced text (""C. PROVIDE GUTTERS AND DOWN SPOUTS w/ HEAT CABLE, SNOW FENCES, AND SNOW CLIPS - SEE ROOF PLAN."") supports the item; matched terms: gutter, gutters.","C. PROVIDE GUTTERS AND DOWN SPOUTS w/ HEAT CABLE, SNOW FENCES, AND SNOW CLIPS - SEE ROOF PLAN.","C. PROVIDE GUTTERS AND DOWN SPOUTS w/ HEAT CABLE, SNOW FENCES, AND SNOW CLIPS - SEE ROOF PLAN.",
A-203,Building Elevations Breezeway,Architectural,7,Steep Slope Roofing,Furnish & Install Asphalt Shingles,Asphalt Shingles,1,RIGHT,"Referenced text (""RW4 ASPHALT SHINGLE"") supports the item; matched terms: asphalt, shingle.",RW4 ASPHALT SHINGLE,RW4 ASPHALT SHINGLE,
A-203,Building Elevations Breezeway,Architectural,7,Roofing and Siding Panels,Furnish & Install Fiber Cement Siding,Fiber Cement Siding,14,RIGHT,"Referenced text (""FB1 FIBER BOARD, HORIZONTAL | FB2 FIBER BOARD, VERTICAL | FB1 | FB1 | FB1 | FB1 | FB1 | FB1 | FB1 | FB1 | FB1 | FB1 | FB1 | FB1"") supports the item; matched terms: fiber.","FB1 FIBER BOARD, HORIZONTAL | FB2 FIBER BOARD, VERTICAL | FB1 | FB1 | FB1 | FB1 | FB1 | FB1 | FB1 | FB1 | FB1 | FB1 | FB1 | FB1","FB1 FIBER BOARD, HORIZONTAL | FB2 FIBER BOARD, VERTICAL | FB1 | FB1 | FB1 | FB1 | FB1 | FB1 | FB1 | FB1 | FB1 | FB1 | FB1 | FB1",
A-203,Building Elevations Breezeway,Architectural,7,Painting and Coating,Furnish & Install Painting For All Exposed Unfinished Steel,Interior Painting,1,RIGHT,"Referenced text (""E. ALL EXPOSED UNFINISHED STEEL TO BE PAINTED UNLESS DIRECTED BY ARCHITECT."") supports the item; matched terms: exposed, steel, unfinished.",E. ALL EXPOSED UNFINISHED STEEL TO BE PAINTED UNLESS DIRECTED BY ARCHITECT.,E. ALL EXPOSED UNFINISHED STEEL TO BE PAINTED UNLESS DIRECTED BY ARCHITECT.,
A-203,Building Elevations Breezeway,Architectural,7,Safety Specialties,Furnish & Install Fire Extinguishers And Cabinets,Fire Extinguishers & Cabinets,1,RIGHT,"Referenced text (""FEC FIRE EXT CAB"") supports the item; matched terms: fire.",FEC FIRE EXT CAB,FIRE EXT CAB FEC,
A-203,Building Elevations Breezeway,Architectural,7,Site Improvements,Furnish & Install — Bike Racks,Site Furnishings (Fixed),1,RIGHT,"Referenced text (""BIKE RACK"") supports the item; matched terms: bike, rack.",BIKE RACK,BIKE RACK,
A-203,Building Elevations Breezeway,Architectural,7,Electrical,Furnish & Install Exterior Lighting Above Doors,Lighting & Lighting Controls,1,RIGHT,"Referenced text (""LIGHTS ABOVE DOORS. SEE ELECTRICAL"") supports the item; matched terms: above, door, doors, light.",LIGHTS ABOVE DOORS. SEE ELECTRICAL,LIGHTS ABOVE DOORS. SEE ELECTRICAL,
A-203,Building Elevations Breezeway,Architectural,7,Electronic Safety and Security,Furnish & Install Knox Box for Emergency Access,Access Control,1,RIGHT,"Referenced text (""KX1 KNOX"") supports the item; matched terms: knox.",KX1 KNOX,KNOX KX1,
A-203,Building Elevations Breezeway,Architectural,7,Signage,Furnish & Install Building Address Signage,Exterior Signage,3,WRONG,"All referenced regions are title-block/page furniture - e.g. the architect's own office address/phone (""Architectural NEXUS, Inc.; 2505 East Parleys Way; Salt Lake City, Utah 84109"") - not a scope of work.","Architectural NEXUS, Inc. | 2505 East Parleys Way | Salt Lake City, Utah 84109","Architectural NEXUS, Inc. | 2505 East Parleys Way | Salt Lake City, Utah 84109","2789,282,2932,282,2932,293,2789,293; 2790,296,2920,296,2920,308,2790,308; 2790,310,2945,310,2945,322,2790,322"
A-351,Wall Sections,Architectural,8,Wall Finishes,Furnish & Install Wall Finishes Per Finish Schedule And Elevations,Wall Covering,18,RIGHT,"Referenced tag(s) ""FG5.1, XW6"" appear on the G-501/G-511 assembly legend and are consistent with ""Furnish & Install Wall Finishes Per Finish Schedule And Elevations"".",FG5.1 | XW6 | XW6 | XW6 | FG5.1 | XW6 | XW6 | XW6 | XW6 | XW6 | XW6 | XW6 | FG5.1 | XW6 | XW6 | XW6 | XW6 | FG5.1,FG5.1 | XW6 | XW6 | XW6 | FG5.1 | XW6 | XW6 | XW6 | XW6 | XW6 | XW6 | XW6 | FG5.1 | XW6 | XW6 | XW6 | XW6 | FG5.1,
A-351,Wall Sections,Architectural,8,Windows,Furnish & Install Vinyl Clad Windows,Vinyl Windows,8,WRONG,"The referenced text is the tag ""FW22"", which the floor assembly-type legend on G-501/G-511 defines as 1/2 hr UL L501, wood floor truss, resilient channel - a floor assembly designation, not ""Furnish & Install Vinyl Clad Windows"". This looks like the abbreviation/tag was read as the wrong kind of callout.",FW22 | FW22 | FW22 | FW22 | FW22 | FW22 | FW22 | FW22,FW22 | FW22 | FW22 | FW22 | FW22 | FW22 | FW22 | FW22,"641,1424,660,1424,660,1433,641,1433; 650,1061,669,1061,669,1070,650,1070; 1199,1040,1218,1040,1218,1049,1199,1049; 1199,1410,1218,1410,1218,1419,1199,1419; 1650,1058,1668,1058,1668,1067,1650,1067; 1647,1416,1666,1416,1666,1425,1647,1425; 2160,1054,2179,1054,2179,1063,2160,1063; 2160,1418,2179,1418,2179,1427,2160,1427"
A-351,Wall Sections,Architectural,8,Masonry,Furnish & Install Brick Veneer System,Brick Veneer,15,RIGHT,"Referenced tag(s) ""BR1, FB1, FB2"" appear on the G-501/G-511 assembly legend and are consistent with ""Furnish & Install Brick Veneer System"".",FB2 | FB2 | FB2 | BR1 | BR1 | FB2 | FB2 | BR1 | FB1 | FB1 | FB1 | FB1 | BR1 | FB1 | FB1,FB2 | FB2 | FB2 | BR1 | BR1 | FB2 | FB2 | BR1 | FB1 | FB1 | FB1 | FB1 | BR1 | FB1 | FB1,
A-351,Wall Sections,Architectural,8,Flashing and Sheet Metal,"Furnish & Install Gutters, Downspouts, and Associated Accessories",Gutters & Downspouts,5,RIGHT,"Referenced text (""RW4 | RW4 | RW4 | DOWNSPOUT, SEE CIVIL & LANDSCAPE | RW4"") supports the item; matched terms: downspout.","RW4 | RW4 | RW4 | DOWNSPOUT, SEE CIVIL & LANDSCAPE | RW4","RW4 | RW4 | RW4 | DOWNSPOUT, SEE CIVIL & LANDSCAPE | RW4",
A-351,Wall Sections,Architectural,8,Flashing and Sheet Metal,Furnish & Install Self-Adhered and Flexible Flashing Membrane,Others,1,RIGHT,"Referenced text (""SELF ADHERED FLASHING MEMBRANE"") supports the item; matched terms: flash, flashing, membrane.",SELF ADHERED FLASHING MEMBRANE,SELF ADHERED FLASHING MEMBRANE,
A-351,Wall Sections,Architectural,8,Flashing and Sheet Metal,Furnish & Install Continuous Flexible Silicone Membrane Flashing,Others,1,RIGHT,"Referenced text (""CONTINUOUS FLEXIBLE SILICONE MEMBRANE FLASHING"") supports the item; matched terms: continuou, continuous, flash, flashing, flexible, membrane, silicone.",CONTINUOUS FLEXIBLE SILICONE MEMBRANE FLASHING,CONTINUOUS FLEXIBLE SILICONE MEMBRANE FLASHING,
A-351,Wall Sections,Architectural,8,Membrane Roofing,Furnish & Install Self-Adhered Single-Ply Roofing Membrane,Others,1,RIGHT,"Referenced text (""SELF-ADHERED SINGLE-PLY ROOFING MEMBRANE"") supports the item; matched terms: membrane, roof, roofing, self-adhered, single-ply.",SELF-ADHERED SINGLE-PLY ROOFING MEMBRANE,SELF-ADHERED SINGLE-PLY ROOFING MEMBRANE,
A-351,Wall Sections,Architectural,8,Membrane Roofing,Furnish & Install High Temperature Roof Underlayment,Others,1,RIGHT,"Referenced text (""ROOF UNDERLAYMENT, HIGH TEMP"") supports the item; matched terms: high, roof, underlayment.","ROOF UNDERLAYMENT, HIGH TEMP","ROOF UNDERLAYMENT, HIGH TEMP",
A-351,Wall Sections,Architectural,8,Dampproofing and Waterproofing,Furnish & Install Self-Adhered Foil-Faced Membrane,Others,1,RIGHT,"Referenced text (""SELF ADHERED FOIL-FACED MEMBRANE"") supports the item; matched terms: foil-faced, membrane.",SELF ADHERED FOIL-FACED MEMBRANE,SELF ADHERED FOIL-FACED MEMBRANE,
A-351,Wall Sections,Architectural,8,Dampproofing and Waterproofing,Furnish & Install Ice And Water Shield Membrane,Others,1,RIGHT,"Referenced text (""ICE & WATER SHIELD"") supports the item; matched terms: ice, shield, water.",ICE & WATER SHIELD,ICE & WATER SHIELD,
A-351,Wall Sections,Architectural,8,Dampproofing and Waterproofing,Furnish & Install Weather Resistant Barrier (WRB),Others,1,RIGHT,"Referenced text (""WEATHER RESISTANT BARRIER (WRB)"") supports the item; matched terms: barrier, resistant, weather, wrb.",WEATHER RESISTANT BARRIER (WRB),WEATHER RESISTANT BARRIER (WRB),
A-351,Wall Sections,Architectural,8,Dampproofing and Waterproofing,Furnish & Install Vapor Control Layer (VCL) And Smart Vapor Retarder,Others,2,RIGHT,"Referenced text (""VAPOR CONTROL LAYER (VCL) | SMART VAPOR RETARDER"") supports the item; matched terms: control, layer, retarder, smart, vapor, vcl.",VAPOR CONTROL LAYER (VCL) | SMART VAPOR RETARDER,VAPOR CONTROL LAYER (VCL) | SMART VAPOR RETARDER,
A-351,Wall Sections,Architectural,8,Dampproofing and Waterproofing,Furnish & Install Below Slab Vapor Barrier,Below-Grade Waterproofing,1,RIGHT,"Referenced text (""VAPOR BARRIER, BELOW SLAB"") supports the item; matched terms: barrier, below, slab, vapor.","VAPOR BARRIER, BELOW SLAB","VAPOR BARRIER, BELOW SLAB",
A-351,Wall Sections,Architectural,8,Dampproofing and Waterproofing,Furnish & Install Below Grade Dampproofing,Foundation Dampproofing,1,RIGHT,"Referenced text (""BELOW GRADE DAMPPROOFING"") supports the item; matched terms: below, dampproof, dampproofing, grade, grading.",BELOW GRADE DAMPPROOFING,BELOW GRADE DAMPPROOFING,
A-351,Wall Sections,Architectural,8,Dampproofing and Waterproofing,Furnish & Install Fluid-Applied Waterproofing,Below-Grade Waterproofing,1,RIGHT,"Referenced text (""FLUID-APPLIED WATERPROOFING"") supports the item; matched terms: fluid-applied, waterproof, waterproofing.",FLUID-APPLIED WATERPROOFING,FLUID-APPLIED WATERPROOFING,
A-351,Wall Sections,Architectural,8,Miscellaneous Metals,Furnish & Install Corner Guards,Corner & Wall Guards,12,WRONG,"The referenced text is the tag ""CG1.11"", which the ceiling assembly-type legend on G-501/G-511 defines as 1/2 hr floor-ceiling, moisture resistant gyp - a ceiling assembly designation, not ""Furnish & Install Corner Guards"". This looks like the abbreviation/tag was read as the wrong kind of callout.",CG1.11 | CG1.11 | CG1.11 | CG1.11 | CG1.11 | CG1.11 | CG1.11 | CG1.11 | CG1.11 | CG1.11 | CG1.11 | CG1.11,CG1.11 | CG1.11 | CG1.11 | CG1.11 | CG1.11 | CG1.11 | CG1.11 | CG1.11 | CG1.11 | CG1.11 | CG1.11 | CG1.11,"671,784,695,784,695,793,671,793; 655,1516,679,1516,679,1525,655,1525; 665,1148,690,1148,690,1157,665,1157; 1203,791,1227,791,1227,801,1203,801; 1197,1145,1221,1145,1221,1155,1197,1155; 1198,1505,1222,1505,1222,1514,1198,1514; 1661,787,1686,787,1686,796,1661,796; 1661,1147,1686,1147,1686,1156,1661,1156; 1657,1514,1682,1514,1682,1523,1657,1523; 2172,784,2196,784,2196,793,2172,793; 2172,1142,2196,1142,2196,1152,2172,1152; 2170,1512,2195,1512,2195,1521,2170,1521"
